timestamp,camera_front
1645481443.816965103,3301
1645481443.850290060,3302
1645481443.883573055,3303
1645481443.917063951,3304
1645481443.950402975,3305
1645481443.983726978,3306
1645481444.016956091,3307
1645481444.050384045,3308
1645481444.083745956,3309
1645481444.116919994,3310
1645481444.150480986,3311
1645481444.183861017,3312
1645481444.217137098,3313
1645481444.250513077,3314
1645481444.283950090,3315
1645481444.317296982,3316
1645481444.350707054,3317
1645481444.383948088,3318
1645481444.417150974,3319
1645481444.450618029,3320
1645481444.484014988,3321
1645481444.517349005,3322
1645481444.550688028,3323
1645481444.583962917,3324
1645481444.617219925,3325
1645481444.650489092,3326
1645481444.683691978,3327
1645481444.717386007,3328
1645481444.750305891,3329
1645481444.783683062,3330
1645481444.816977024,3331
1645481444.850461960,3332
1645481444.883646011,3333
1645481444.916908979,3334
1645481444.950331926,3335
1645481444.983536005,3336
1645481445.016884089,3337
1645481445.050493002,3338
1645481445.083722115,3339
1645481445.117043972,3340
1645481445.150383949,3341
1645481445.183629036,3342
1645481445.217010975,3343
1645481445.250421047,3344
1645481445.283597946,3345
1645481445.317017078,3346
1645481445.350383043,3347
1645481445.383637905,3348
1645481445.417058945,3349
1645481445.450333118,3350
1645481445.483768940,3351
1645481445.516999006,3352
1645481445.550369978,3353
1645481445.583615065,3354
1645481445.616874933,3355
1645481445.650245905,3356
1645481445.683480024,3357
1645481445.716888905,3358
1645481445.750161886,3359
1645481445.783452034,3360
1645481445.816685915,3361
1645481445.850033045,3362
1645481445.883378983,3363
1645481445.916724920,3364
1645481445.950052023,3365
1645481445.983464956,3366
1645481446.016660929,3367
1645481446.049957037,3368
1645481446.083292007,3369
